UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 76 | 180 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx (dsize= 8 )
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 180 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = d9
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_scoreboard.sv | 38 | 182 | uvm_test_top.env.scoreboard | SCOREBOARD | [SCB]: WRITE FULL
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 182 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=67
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 190 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = 05
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 190 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = 05
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_scoreboard.sv | 38 | 192 | uvm_test_top.env.scoreboard | SCOREBOARD | [SCB]: WRITE FULL
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 192 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=67
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 200 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = 8d
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 200 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = 8d
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 202 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=67
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_driver.sv | 59 | 203 | uvm_test_top.env.Rd_agent.Rd_drvr | READ_DRIVER | Read_INC = 0
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 210 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = a7
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 210 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = a7
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_monitor.sv | 67 | 212 | uvm_test_top.env.Rd_agent.Rd_mon | READ_MONITOR | Sent sequence item: rd_inc = 1, rd_data=91, rd_empty=0
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_scoreboard.sv | 38 | 212 | uvm_test_top.env.scoreboard | SCOREBOARD | [SCB]: WRITE FULL
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_monitor.sv | 45 | 212 | uvm_test_top.env.Wr_agent.afifo_Wr_mon | Write_Monitor | MON is doing WRITE at data=a7
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_scoreboard.sv | 58 | 212 | uvm_test_top.env.scoreboard | SCOREBOARD | MATCHED DATA, Data Written (Ref Module) = 91, DATA_READ = 91
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_driver.sv | 62 | 220 | uvm_test_top.env.Rd_agent.Rd_drvr | READ_DRIVER | Read_INC = 1
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_driver.sv | 78 | 220 | uvm_test_top.env.Wr_agent.afifo_Wr_drv | WRITE_DRIVER | Write_EN = 1, Data_in = 87
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 71 | 220 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Rd_seq.sv | 76 | 220 | uvm_test_top.env.Rd_agent.Rd_sqr@@rd_seq | READ_SEQUENCE | Data_Read = xx (dsize= 8 )
UVM_INFO | /u/aakashbh/ECE-593/Asyc_FIFO/team_05_Async_FIFO/M4_U/VERIF_UVM/uvm_AFIFO_Wr_sequence.sv | 51 | 220 | uvm_test_top.env.Wr_agent.afifo_Wr_seqr@@wr_seq | WRITE_SEQUENCE | Data_Write = 87
